type,regexpr,kind,geshiLanguage,wikiLanguage,wikiTechnology,tags,urls
file,.*\.hs,source,haskell,Haskell,,haskell,http://www.fileinfo.com/extension/hs haskell
file,.*\.tpl,source,xml,XML,,haskell,
file,.*\.js,source,javascript,JavaScript,,javascript,http://www.fileinfo.com/extension/js
file,.*\.jar,archive,    ,    ,,java,http://www.fileinfo.com/extension/jar
file,.*\.java,source,java,Java,,java,http://www.fileinfo.com/extension/java
file,.*\.class,binary,,,,java,http://www.fileinfo.com/extension/class
file,.*\.jsp,source,"html,java,xml",,JSP,java,http://www.fileinfo.com/extension/jsp
file,.*\.mf,source,text,,,java,http://www.fileinfo.com/extension/mf
file,.*\.ser,binary,,,,java,
file,.*\.json,source,,,,,
file,\.classpath,source,text,,,eclipse,
file,\.project,source,xml,,,eclipse,
file,.*\.launch,source,xml,,,eclipse,
file,.*\.png,image,,,,png,http://www.fileinfo.com/extension/png
file,.*\.gif,image,,,,gif,http://www.fileinfo.com/extension/gif
file,.*\.jpg,image,,,,jpg,http://www.fileinfo.com/extension/jpg
file,.*\.jpeg,image,,,,jpg,http://www.fileinfo.com/extension/jpeg
file,.*\.bmp,image,,,,bmp,http://www.fileinfo.com/extension/bmp
file,.*\.ico,image,,,,ico,http://www.fileinfo.com/extension/bmp
file,.*~,source,text,,,,
